SchemaVersion,SessionId,TrialId,StartTimestampUtc,EndTimestampUtc,ParticipantId,InputMethod,IsPractice,DurationSeconds,GrossWPM,EffectiveWPM,LevenshteinDistance,CER,AccuracyPercent,PhysicalActionCount,CommittedCharacterCount,BackspaceActionCount,ShiftActionCount,CapsLockActionCount,ModifierActionCount,SentenceCount,TrialValid,InvalidReason
1,2.03E+13,T001,2026-07-21T19:07:11.8046260+00:00,2026-07-21T19:08:07.7074861+00:00,P001,Press,TRUE,55.897705,42.935574,2.361457,189,0.945,5.500001,200,200,0,0,0,0,3,TRUE,
1,2.03E+13,T001,2026-07-21T19:10:40.0562114+00:00,2026-07-21T19:11:35.0546255+00:00,P001,Swipe,TRUE,55.010254,43.628231,6.980518,168,0.84,16.000003,129,201,1,0,0,0,3,TRUE,
1,2.03E+13,T001,2026-07-21T19:14:23.8329777+00:00,2026-07-21T19:15:27.8738981+00:00,P001,Press,TRUE,64.03833,37.477558,1.311716,193,0.965,3.500003,200,200,0,0,0,0,3,TRUE,
2,2.03E+13,T004,2026-07-21T21:20:24.3327446+01:00,2026-07-21T21:22:24.3352419+01:00,P001,Press,FALSE,120,14.4,10.296,57,0.285,71.500003,154,147,3,4,0,4,4,TRUE,
2,2.03E+13,T001,2026-07-21T21:34:30.8008447+01:00,2026-07-21T21:36:30.8028570+01:00,P001,Press,TRUE,120,8,7.8,2,0.025,97.500002,116,97,17,0,2,2,2,TRUE,
2,2.03E+13,T005,2026-07-21T21:39:31.0661390+01:00,2026-07-21T21:41:31.0716766+01:00,P001,Press,FALSE,120,9,9,0,0,100,131,108,18,3,2,5,3,TRUE,
2,2.03E+13,T011,2026-07-21T21:43:36.8947790+01:00,2026-07-21T21:45:36.8981295+01:00,P001,Swipe,TRUE,120,2.7,2.6,1,0.037037,96.296299,89,65,45,1,0,1,1,TRUE,
2,2.03E+13,T022,2026-07-21T21:45:57.7734292+01:00,2026-07-21T21:47:57.7764843+01:00,P001,Swipe,TRUE,120,3.6,2.9,7,0.194444,80.555558,84,64,35,1,1,2,2,TRUE,
2,2.03E+13,T033,2026-07-21T21:49:47.9090396+01:00,2026-07-21T21:51:47.9135469+01:00,P001,Swipe,FALSE,120,7.1,6.4,7,0.098592,90.140843,66,86,21,0,1,1,2,TRUE,
2,2.03E+13,T038,2026-07-21T21:53:08.9087582+01:00,2026-07-21T21:54:15.1545918+01:00,P001,StickTap,TRUE,66.232811,17.212013,3.080045,78,0.821053,17.894739,119,106,12,1,0,1,2,TRUE,
